mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_iter,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4302384853363037,0.038044416868722876,0.025121688842773438,0.006378425747243227,0.0,0.02,150,7,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 10}",0.8518518518518519,0.8390804597701149,0.8875,0.9024390243902439,0.8848484848484849,0.873143964172139,0.023727488284024784,193,0.9242424242424242,0.9246987951807228,0.9104704097116844,0.9202453987730062,0.9069069069069069,0.9173127869629489,0.007297584099357274
0.4848236083984375,0.04975784449973489,0.035936403274536136,0.009155543012176848,0.0,0.02,150,7,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 20}",0.8674698795180723,0.8390804597701149,0.8860759493670886,0.9090909090909091,0.8727272727272727,0.8748888940946916,0.022964696333593625,145,0.9214501510574018,0.927710843373494,0.91324200913242,0.91324200913242,0.9082706766917293,0.9167831378774931,0.006909948486729391
0.44568352699279784,0.051231393656619724,0.030565977096557617,0.010050428191642289,0.0,0.02,150,7,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 30}",0.874251497005988,0.8181818181818182,0.8860759493670886,0.8982035928143712,0.8727272727272727,0.8698880260193078,0.027438853165149893,274,0.9221374045801527,0.9246987951807228,0.9104704097116844,0.9021406727828746,0.9055472263868066,0.9129989017284481,0.008946749289834278
0.5455864429473877,0.06938012486587977,0.027606678009033204,0.006368660602600418,0.0,0.02,150,15,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 10}",0.8518518518518519,0.8275862068965517,0.8701298701298701,0.896969696969697,0.8957055214723927,0.8684486294640725,0.02647416336349872,300,0.9526717557251908,0.9565217391304348,0.9467275494672754,0.952959028831563,0.9574468085106383,0.9532653763330204,0.003775650621245273
0.34872822761535643,0.08169474957474691,0.024232149124145508,0.006817600042935489,0.0,0.02,150,15,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 20}",0.8571428571428571,0.8439306358381503,0.8774193548387097,0.9012345679012346,0.906832298136646,0.8773119427715196,0.0243510105704405,78,0.9388379204892966,0.9459459459459459,0.9333333333333333,0.9347496206373292,0.9367469879518072,0.9379227616715424,0.0044209302617737155
0.38524017333984373,0.04716618541938812,0.030248689651489257,0.007112833333421993,0.0,0.02,150,15,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 30}",0.8695652173913043,0.8228571428571428,0.8846153846153846,0.8902439024390244,0.8834355828220859,0.8701434460249884,0.024602744037540713,267,0.9298780487804879,0.9319213313161876,0.9228441754916793,0.9179331306990881,0.9263157894736842,0.9257784951522254,0.0049997887265157736
0.5624144077301025,0.10408771207179095,0.023986148834228515,0.0031223181274003414,0.0,0.02,150,31,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 10}",0.8834355828220859,0.8323699421965318,0.8387096774193549,0.8994082840236687,0.8982035928143712,0.8704254158552025,0.029103282793762796,262,0.9814814814814815,0.9755351681957186,0.9785276073619632,0.9784615384615385,0.9876543209876543,0.9803320232976713,0.004115865567227086
0.3962855815887451,0.06508496657096388,0.02739434242248535,0.0055946706196275805,0.0,0.02,150,31,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 20}",0.8641975308641975,0.8372093023255814,0.8789808917197452,0.8957055214723927,0.8944099378881988,0.8741006368540232,0.021735214316676747,164,0.9404580152671755,0.9492537313432836,0.939209726443769,0.9406392694063926,0.9408194233687405,0.9420760331658723,0.0036330814897134692
0.2503506660461426,0.02510597669631823,0.021970176696777345,0.0026664315909068976,0.0,0.02,150,31,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 30}",0.8765432098765432,0.8228571428571428,0.8846153846153846,0.8848484848484849,0.8834355828220859,0.8704599610039283,0.023995027026344824,259,0.9312977099236641,0.9319213313161876,0.9226100151745068,0.9193302891933028,0.9263157894736842,0.9262950270162692,0.004873796315880398
0.2985992908477783,0.032858727616560945,0.029845619201660158,0.007877379483462807,0.0,0.02,250,7,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 10}",0.8695652173913043,0.8421052631578947,0.8987341772151899,0.9012345679012346,0.891566265060241,0.8806410981451729,0.022264300984268348,19,0.9300911854103343,0.9561270801815431,0.9310872894333844,0.9329268292682927,0.9349470499243571,0.9370358868435822,0.00968850810027151
0.3186540126800537,0.0651072729706307,0.028490543365478516,0.008877361132213366,0.0,0.02,250,7,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 20}",0.8765432098765432,0.8421052631578947,0.8860759493670886,0.8819875776397516,0.891566265060241,0.8756556530203039,0.017482790612023465,129,0.9298780487804879,0.9459459459459459,0.9207317073170732,0.9327217125382263,0.9291101055806938,0.9316775040324854,0.008177026914356962
0.38657479286193847,0.04510842567528419,0.035260486602783206,0.0072026329289875185,0.0,0.02,250,7,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 30}",0.875,0.8117647058823529,0.8860759493670886,0.8957055214723927,0.896969696969697,0.8731031747383063,0.031669466527065676,194,0.9345509893455098,0.9443609022556391,0.9221374045801527,0.9204892966360856,0.9154078549848943,0.9273892895604563,0.010564776892842574
0.49532523155212405,0.0724613939217763,0.024811744689941406,0.0009753051967730183,0.0,0.02,250,15,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 10}",0.8571428571428571,0.8352941176470589,0.8789808917197452,0.896969696969697,0.8765432098765432,0.8689861546711803,0.021049938464512852,288,0.9785932721712538,0.9801526717557252,0.975609756097561,0.9724770642201835,0.9801526717557252,0.9773970872000897,0.0029671039605859363
0.518310260772705,0.09642881661290917,0.02530508041381836,0.004740998332660248,0.0,0.02,250,15,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.02, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 20}",0.8848484848484849,0.8439306358381503,0.8589743589743589,0.8819875776397516,0.8944099378881988,0.872830199037789,0.01855344152728763,200,0.9631901840490797,0.9785932721712538,0.9663608562691132,0.9618320610687023,0.9665653495440729,0.9673083446204445,0.005928714763202238
